#Latin name	Filename (NCBI Taxonomy ID)
'Arthromyces ramosus'	5451
'Chlorella' ellipsoidea	3072
'Chlorella' fusca	3073
'Flavobacterium' lutescens	255
(Populus tomentosa x P. bolleana) x P. tomentosa	418444
(Populus tomentosa x P. bolleana) x P. tomentosa var. truncata	328805
A-2 plaque virus	120087
AKR (endogenous) murine leukemia virus	11791
AKT8 retrovirus	12438
Abelson murine leukemia virus	11788
Abies alba	45372
Abies grandis	46611
Abies magnifica	3320
Abiotrophia defectiva	46125
Abiotrophia para-adiacens	191553
Abrothrix jelskii	241142
Abrus precatorius	3816
Absidia glauca	4829
Absidia zychae	36079
Abudefduf saxatilis	50731
Abutilon mosaic virus	10816
Abutilon mosaic virus-HW	222059
Abutilon yellows virus	169102
Acacia ampliceps	178750
Acacia auriculiformis	205027
Acacia mangium	224085
Acacia mangium x Acacia auriculiformis	54177
Acalolepta luxuriosa	85306
Acalypha yellow mosaic virus	219300
Acalyptophis peroni	8676
Acanthamoeba castellanii	5755
Acanthamoeba healyi	65661
Acanthamoeba polyphaga	5757
Acanthamoeba polyphaga mimivirus	212035
Acanthaster planci	133434
Acanthocheilonema viteae	6277
Acanthogobius flavimanus	86203
Acanthogobius hasta	267130
Acanthokara kaputensis	62873
Acanthopagrus butcheri	8179
Acanthopagrus latus	8177
Acanthopagrus schlegelii	72011
Acanthoscelides obtectus	200917
Acanthoscurria gomesiana	115339
Acanthus ebracteatus	241842
Acaryochloris marina	155978
Acaryochloris marina MBIC11017	329726
Acer pseudoplatanus	4026
Acer rubrum	45314
Acetabularia acetabulum	35845
Acetabularia peniculus	35862
Acetivibrio cellulolyticus	35830
Acetobacter aceti	435
Acetobacter pasteurianus	438
Acetobacter sp.	440
Acetobacter syzygii	146476
Acetobacter tropicalis	104102
Acetobacterium dehalogenans	82116
Achaea janata	378752
Achatina fulica	6530
Acheta domesticus	6997
Acheta domesticus virus	336634
Achlya ambisexualis	4768
Achlya bisexualis	4766
Achlya klebsiana	4767
Acholeplasma laidlawii	2148
Acholeplasma multilocale	264638
Acholeplasma palmae	38986
Acholeplasma phage L2	46014
Acholeplasma phage MV-L1	10876
Achromobacter cycloclastes	223
Achromobacter denitrificans	32002
Achromobacter sp. CCM 4824	325424
Achromobacter sp. WM111	104199
Achromobacter sp. mp-2	281110
Achromobacter xylosoxidans	85698
Aciculosporium take	42363
Acidaminococcus fermentans	905
Acidianus ambivalens	2283
Acidianus bottle-shaped virus	437444
Acidianus brierleyi	41673
Acidianus filamentous virus 1	235266
Acidianus filamentous virus 2	300186
Acidianus infernus	12915
Acidianus rod-shaped virus 1	309181
Acidianus tengchongenses	146920
Acidianus two-tailed virus	315953
Acidiphilium acidophilum	76588
Acidiphilium angustum	523
Acidiphilium cryptum JF-5	349163
Acidiphilium multivorum	62140
Acidiphilium rubrum	526
Acidiphilium sp. AIU409	92641
Acidiphilium symbioticum	94005
Acidithiobacillus caldus	33059
Acidithiobacillus ferrooxidans	920
Acidithiobacillus thiooxidans	930
Acidobacteria bacterium Ellin345	204669
Acidobacterium capsulatum	33075
Acidocella facilis	525
Acidothermus cellulolyticus 11B	351607
Acidovorax avenae subsp. avenae	80870
Acidovorax avenae subsp. citrulli	80869
Acidovorax avenae subsp. citrulli AAC00-1	397945
Acidovorax delafieldii	47920
Acidovorax facilis	12917
Acidovorax sp. JS42	232721
Acidovorax sp. KKS102	358220
Acidovorax sp. MUL2G8	371155
Acidovorax sp. SA1	129134
Acidovorax sp. TP4	77636
Acinetobacter baumannii	470
Acinetobacter baumannii ATCC 17978	400667
Acinetobacter baylyi	202950
Acinetobacter bouvetii	202951
Acinetobacter calcoaceticus	471
Acinetobacter calcoaceticus subsp. anitratus	107673
Acinetobacter genomosp. 10	106648
Acinetobacter genomosp. 11	106649
Acinetobacter genomosp. 13	72607
Acinetobacter genomosp. 13TU	106654
Acinetobacter genomosp. 14	70345
Acinetobacter genomosp. 15	70346
Acinetobacter genomosp. 16	70347
Acinetobacter genomosp. 17	70348
Acinetobacter genomosp. 3	48296
Acinetobacter genomosp. 6	106646
Acinetobacter genomosp. 9	106647
Acinetobacter gerneri	202952
Acinetobacter grimontii	202953
Acinetobacter haemolyticus	29430
Acinetobacter johnsonii	40214
Acinetobacter junii	40215
Acinetobacter lwoffii	28090
Acinetobacter parvus	134533
Acinetobacter phage 133	279006
Acinetobacter phage AP205	154784
Acinetobacter radioresistens	40216
Acinetobacter schindleri	108981
Acinetobacter sp.	72569
Acinetobacter sp. 20	192995
Acinetobacter sp. 4365	209657
Acinetobacter sp. 631	70349
Acinetobacter sp. 640	70350
Acinetobacter sp. 93A2	168929
Acinetobacter sp. A1411	173966
Acinetobacter sp. AC149	419209
Acinetobacter sp. AC17	419210
Acinetobacter sp. AC18	419211
Acinetobacter sp. AC23	419212
Acinetobacter sp. AC25	419213
Acinetobacter sp. AC28	419214
Acinetobacter sp. AC35	419215
Acinetobacter sp. AC78	419216
Acinetobacter sp. ADP1	62977
Acinetobacter sp. BD413	104611
Acinetobacter sp. BM2716	72608
Acinetobacter sp. BM2722	70351
Acinetobacter sp. CR1	241812
Acinetobacter sp. DL-28	160971
Acinetobacter sp. EB104	156739
Acinetobacter sp. ED23-35	109250
Acinetobacter sp. ED45-25	194927
Acinetobacter sp. GXA7	310572
Acinetobacter sp. L32	196178
